References	Qty	Description	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
U1	1	CD4053BCM	ON Semiconductor	CD4053BCM	National Semiconductor	CD4053BCM	Fairchild Semiconductor	CD4053BCMX	Texas Instruments	CD4053BCMX	Fairchild Semiconductor	CD4053BCM_NL					
R1	1	resistor 470k	TE Connectivity	CBT25J470K	Yageo	MFR-25FBF52-475K											
C1	1	3.3uF electrolytic	Panasonic	ECA-1HM3R3	Panasonic	ECA-1HHG3R3											
Speaker	1	Piezo															
Solar Cell	1																
