References	Qty	Description	Manufacturer	MPN	Digikey	Mouser	RS	Newark	Farnell
U2	1	VCO	Maxim Integrated	MAX2606EUT+T	MAX2606EUT+TCT-ND	MAX2606EUT+T			2517284
R1, R2	2	1.1k 0805	Panasonic	ERJ-6ENF1001V	P1.00KCCT-ND	ERJ6ENF1001V	7326037	64R5369	2303550
L1	1	390nH	Murata	LQW2BASR39J00L	490-5673-1-ND	LQW2BASR39J00L	8390976		2219340
U1	1	3.3V regulator	Diodes Inc.	AP2210N-3.3TRG1	AP2210N-3.3TRG1DICT-ND	AP2210N3.3TRG1	8287426		
MK1	1	Microphone	CUI	CMC-5042PF-AC	102-1724-ND	CMC5042PFAC			
R3	1	2.2k 0805	Yageo	RC0805FR-072K2L	311-2.20KCRCT-ND	RC0805FR072K2L	6182928	68R0236	2459315
C4, C5	2	1nF 0805 NP0	Yageo	CC0805JRNPO9BN102	311-1122-1-ND	CC0805JRNPO9BN102	6698899	68R4850	718567
C1, C3	2	2.2uF 0805 X7R	Yageo	CC0805KKX7R7BB225	311-1881-1-ND	CC0805KKX7R7BB225		65R8872	
VR1	1	10k pot	BI Technologies	44WR10KLFT7	987-1046-1-ND	44WR10KLFT7		16M0773	2411389
